Title,Company,Category,Remote,Seniority,Bottom salary,Top salary,Must haves,Nice to haves
Java Developer,Netcompany Poland,Fullstack,0,Junior,8000,15000,"Java,CAN,ROOM,Design Patterns,Manual Testing,Spring Boot,Node.js,Hibernate,Degree,Object-oriented programming",
Senior Java Developer,Fluke Reliability,Backend,0,Senior,20160,30240,"Java,Spring,Spring Boot,Micro",CI/CD
Java Developer,AVENGA,Backend,0,Mid,18480,21840,"Java,Spring,Java EE,Hibernate,Object Oriented Analysis,XML,Oracle,SQL,Linux,Communication skills,Ant,Maven,Gradle,Camel","JMS,JBoss,TDD,JUnit,Unit testing"
Backend Java Developer (remote),Appfire,Backend,1,Mid,13500,18000,"Java,Design Patterns,OOP,Spring,Hibernate,JPA,SQL,REST API,Git,Maven,Docker,Spock,JUnit,Mockito","Domain Driven Design,SaaS,Hexagonal Architecture"
Java Developer,theITgarden,Backend,0,Junior,10000,12000,"Java,SQL","JavaScript,JUnit,PostgreSQL,Jira,Confluence,UML,BPMN"
Java Team Leader,AVENGA,Backend,1,Expert,30240,36960,"Java,Spring Boot,Kafka,Kubernetes,Docker,AWS",
Fullstack Developer – Programista Java - PL/SQL,Avenga,Backend,0,Senior,26880,31920,"Java,ERP,SQL,Oracle,Spring,RabbitMQ,Git","Continuous integration,WebLogic,Docker,Kubernetes,Helm,Linux,Angular,CI"
Senior Java Developer / Tech Lead - Remote,Inwedo Sp. z o.o.,Backend,1,Senior,16000,22000,"Java,AWS,Azure,Google Cloud","DevOps,JavaScript"
Senior Java Developer (payment industry),Shiji Poland,Backend,1,Senior,20160,26880,"Java,TDD,Design Patterns,Analytical skills,TypeScript,JavaScript,Git","Kubernetes,Helm,OWASP,Golang,React,Bash,ZSH"
JAVA Software Engineer II,Jamf,Backend,0,Mid,14000,20000,"Java,Spring Framework,SQL,AWS,Git,Kubernetes,MongoDB","REST API,API"
Java Developer,Playtika,Backend,0,Senior,,,"Java,Multithreading,Spring Framework,Spring Boot,Spring,REST API,Web services,Kafka,RabbitMQ,NoSQL,Redis,Couchbase Server,Design Patterns,JUnit,Integration test,AppDynamics",
Senior Java Fullstack Engineer,Intetics,Fullstack,1,Senior,16189,18213,"Java,Spring Boot,Hibernate,REST API",Angular
DEVELOPER JAVA,PKO BP Finat,Backend,0,Mid,20160,24360,"Java,Java Enterprise Edition,JavaScript,SQL,UML,BPMN,SOAP,Web services","Oracle,Groovy"
Senior Java Developer – banking industry,Sii Polska,Backend,0,Senior,20000,28000,"Java,Microservices,SQL,Data modeling,Kafka,Big Data,Machine learning",
Junior Angular Developer - Hybrid,BNP PARIBAS GROUP SERVICE CENTER,Fullstack,0,Junior,5500,10500,"Java,Angular","Relational database,Angular,Spring"
Fullstack Developer (Java 80% + React 20%),Devire,Fullstack,0,Senior,28560,33600,"Java,React,Functional programming,SQL,AWS","Pure,Alloy,Prometheus"
Senior Software Engineer,Akamai,Backend,1,Senior,19000,26000,"Python,Linux,Networking,TCP,Protocols,CI/CD","Golang,C++,C,Terraform,DevOps,Puppet,Helm,Ansible"
Technical Lead (Backend Development),itCraft,Backend,1,Expert,27293,30326,"Azure,NoSQL,SQL,IaaC,Microservices",
Fullstack Developer – Java with React,Sii Polska,Fullstack,0,Senior,20000,28000,"Java,React",Kubernetes
Application Security Tooling Engineer III,Box Inc.,Security,0,Mid,20500,25500,"DevSecOps Experience,Security tools,OWASP knowledge,Frontend/API focus,Application security",
Senior PL/SQL Developer,Sopra Steria Poland,Data,0,Senior,18400,21600,"PL/SQL,Oracle,Communication skills,Degree,SQL,Spark",".NET,Java,JavaScript,TypeScript,Angular,React,Kanban,Writing unit tests,Jira,ALM"
Developer ESB,Team Connect Sp. z o.o.,Backend,0,Mid,21840,25200,"CI,WSDL,JMS,SOAP,XML,IBM WebSphere,IBM MQ,IBM,TIBCO",IBM App Connect v11/12
Integration Developer,SquareOne,Sys. Administrator,1,Senior,23520,26880,"ESB,WSDL,JMS,SOAP,XML,Java,Integration","IBM WebSphere,IBM MQ,IBM,TIBCO,webMethods"
Remote Ferryt Developer,Connectis_,Other IT,1,Mid,20160,25200,"Java,BPMN,SOAP,REST API,XML,Jira,Confluence,SQL","SoapUI,Postman,JMeter"
Principal Data Scientist Engineer (1/515),Infolet,Data,1,Expert,31920,35280,"C++,Java,Communication skills,Data science","Analytical skills,Data management,Machine learning"
Fullstack Engineer II,Tesco Technology,Fullstack,0,Mid,20000,27000,"Java,Testing,Spring,Spring Boot,Protocols,CI/CD,Jenkins,Docker,Kubernetes,Cloud platform,Microsoft Azure,TypeScript,React",
Scala Software Engineer,HERE Technologies,Backend,0,Senior,14000,20000,"Scala,Continuous integration,GitLab,Kubernetes,Grafana,Splunk,Redis,Memcached,Kafka,Unit testing","Spark,Flink,AWS,Java"
Medior Test Automation Engineer - freelance,TIS Hungary Kft,Testing,1,Mid,11122,13346,"Selenium,Cucumber,API testing,Test automation,Java,JavaScript,Cypress,Rest Assured,E2E testing,CI/CD Pipelines,Git,javascript,JUnit,REST API,API,CI/CD","UI,Web Services"
Remote Fullstack Developer,Gett,Fullstack,1,Senior,25903,27522,"backend language experience,server-side application experience,database design,Node.js,React,SPA,Redux,Golang","Golang,MySQL,HTML,CSS,Ruby"
