Title,Company,Category,Remote,Seniority,Bottom salary,Top salary,Must haves,Nice to haves
Remote Senior Software Engineer with Python,CodiLime,Backend,1,Senior,20500,25000,"Linux,Git,Kubernetes,Communication skills,Python,Docker","Golang,CI/CD,AWS,FastAPI"
Data Scientist,Lingaro,Data,1,Senior,21840,25200,"Python,Optimalization,Azure","SQL,Team management"
Senior Software Engineer,Digital Hub Warsaw at Bayer,AI,0,Senior,20000,30000,"Python,AI,Machine learning","AWS,TensorFlow,Spark,Keras,Flux"
Mid Data & AI Engineer FULLY REMOTE,Nest Bank,Data,1,Mid,15000,22000,"Big DATA,AI,Big Data,PySpark,Azure,Python,SQL,CI/CD",
Software Platform Developer,Ework Group,DevOps,1,Senior,29039,31943,"IaC,Cloud platform,Python,Kubernetes,Docker",
Mid/Senior Network QA Automation Engineer,CodiLime,Testing,1,Senior,16500,25000,"Python,Networks,Docker,Kubernetes,Linux,Git,CI/CD",
Machine Learning Engineer,Tooploox,AI,1,Mid,13000,18000,"Python,Machine Learning,Computer vision","MSc,PhD"
Junior Site Reliability Engineer,Wipro IT Services Poland,DevOps,0,Junior,17850,19950,"Python,Linux,Automation,Software Development Life Cycle,Unix,Kubernetes","Java,Docker,Virtualization"
Network Automation Engineer (Python+Ansible),SoftServe,DevOps,1,Senior,24000,28000,"Python,Ansible,CI/CD","REST API,Git,MongoDB,NoSQL"
Senior QA Engineer,Hitachi Energy,Testing,0,Senior,12000,18000,"Python,API,UI,QA,SQL,TS,JavaScript,Testing","Linux,RobotFramework,Playwright,ISTQB"
Software Development Manager - Machine Learning,Tesco Technology,Data,0,Expert,28000,40000,"Team management,Machine learning,Apache Spark,Data science,Kanban,Distributed computing,Microservice architecture,Degree,CAN,Communication skills",
Cloud Engineer II,Jamf,DevOps,1,Mid,12500,18500,"Python,Linux,Shell,AWS,AWS EC2,Amazon RDS,AWS Lambda,API,Gateway,AWS DynamoDB,Golang,Infrastructure as Code,CloudFormation,Terraform,Kubernetes,Git,Ansible,Progress Chef,Puppet,Jira,Salesforce,CI,CD tools,Jenkins,GitHub,RHCE",
Senior Data Scientist,GOG,Data,0,Senior,20000,30000,"Python,Machine Learing,API,BigQuery,Data structures,Design Patterns","Docker,Kubernetes,Golang,Microservice architecture,Performance tuning,Web applications"
Senior Software Engineer in Test (Python),XM,Testing,1,Senior,14404,23407,"Python,API,REST API,Git,BSc","Quality assurance,Multithreading,Grafana,Docker,Prometheus"
Senior Data Engineer,Sunscrapers,Data,1,Senior,27000,34000,"Python,ETL,Airflow,SQL,Communication skills,Google Cloud Platform,Snowflake,BI,Affinity CRM","BigQuery,Data visualization,Looker,Tableau,PowerBI,Salesforce"
DevOps Manager,Cere Network,DevOps,0,Expert,28000,40000,"Python,AWS,Go,Terraform,Bash,Degree,DevOps,Azure,Google Cloud,Cloud platform,Amazon EKS,Route53,Amazon RDS,Networking,IaaC,Docker,Grafana,Prometheus,Sentry,Datadog,Communication skills",WEB 3.0.
Senior Penetration Tester (Remote),Hyland,Security,1,Senior,17000,25000,"OWASP,SSDLC","critical thinking,Cooperation skills,Communication skills,C,C++,C#,JavaScript"
Junior Devops,Lotnicze Pogotowie Ratunkowe,DevOps,0,Junior,7000,12000,"DevOps,CI/CD,Docker,Kubernetes,Grafana,WildFly,REST API,YouTrack,GitLab,Prometheus,Elasticsearch,Git,Java","SQL,PostgreSQL,Redis,MongoDB,Oracle DB,Python,Java,JBoss"
Junior Linux Administrator,Akademia Górniczo-Hutnicza,Sys. Administrator,0,Junior,7000,10000,"Linux,Virtualization,Bash,Git,Ansible,Docker,VMware","Python,GitLab,Bitbucket,Fortinet"
Junior Oracle Database Developer,DataFuze,Data,0,Junior,7560,11088,"SQL,PL/SQL,Oracle,Relational database","Apex,Airflow,ETL,Python"
Embedded Systems Tester/QA Engineer,AIUT,Embedded,0,Mid,7800,10800,"C++,C,C#","SQL,Python"
Administrator Systemów Linux,Unity-T Group,Sys. Administrator,0,Mid,10000,15000,"Linux,RHEL,CentOS,TCP,IP,Postfix,Dovecot,Tomcat,HTTPD,Nginx,HAProxy,Bash,Python","PostgreSQL,MySQL,Citrix Systems,Samba,OpenLDAP,MongoDB,Gradle,Squid,Puppet,Ansible"
Tier 3 Support Engineer,Codete,Other IT,1,Mid,16800,20160,"Communication skills,Docker,Kubernetes,Java,Python,Operating system,Networking,Protocols,Cloud",
ETF Data and Quant Analyst,ETFbook,Business Analysis,1,Junior,7500,12000,"Data analytics,Python","Python,Finance"
Ruby / Ruby on Rails - Backend Engineer,Knowde,Backend,1,Senior,18000,25000,"Ruby,Ruby on Rails,SQL,Web service","Elasticsearch,AWS,Python,Golang"
"Senior Software Engineer, Partner Integrations",Box Inc.,Backend,0,Senior,30000,35000,"5+ years of experience,Java","Java,Node.js,React.js,Kubernetes,PHP"
Senior Data Analyst,RTB House,Data,1,Senior,20000,30000,"SQL,Data analysis,Forecasting,Python,Communication skills","Google Cloud Platform,BigQuery,ad-tech industry experience"
Quantitative Research Analyst,Chorus One,Business Analysis,1,Mid,30255,36979,"Protocols,Quantitative research,Blockchain,Data analysis,Ethereum,Python,SQL,Golang,Rust,Crypto",
Senior Go Developer Remote,Superdevs,Backend,1,Senior,25200,30240,"Golang,Python,Kubernetes","Security,MQTT,Open API,Protobuf"
Senior QA Automation Engineer,Travelplanet.pl SA (Invia Group),Testing,0,Senior,18000,23000,"QA,Automated testing,Degree,Test automation,Python,Java,JavaScript,Testing,Cypress,Selenium","Git,Web applications,ISTQB"
Azure DevOps,Omada,DevOps,0,Mid,19320,21840,"Azure DevOps,Azure,Public cloud,DevOps,Cloud,Kubernetes,Docker,Terraform,Jenkins,Puppet,Windows Server,SQL,PowerShell,CLI,Python","API Gateway,Network management,GitHub"
Staff ML Research Lead,RTB House,Project Manager,1,Expert,46000,62000,"Team management,Python,Machine Learning Model Operationalization Management",
Data Engineer (Expert),VirtusLab,Data,1,Expert,26000,31000,"SQL,Snowflake or any DWH solution,Data modeling,Python or any modern language,Airflow or any cloud-based orchestrator,AWS/GCP,dbt",Terraform
Cloud Architect (Infrastructure),Elitmind,Architecture,1,Senior,24024,31920,"Cloud Architecture,DevOps,Docker,Kubernetes,Python,Storage,Networking,Cloud Native,Public cloud,Azure,High availability,Continuous integration,Scripting language,Continuous deployment,CD","Azure,Ruby,PowerShell,CAF,SQL,Microsoft Certification,Microsoft Azure,IAM,Azure DevOps"
Networking Software Engineer (Mid/Senior),Akamai Technologies,Backend,0,Mid,12000,24000,"C++,C,Linux,Networking,DevOps,Jenkins","Python,Golang,Docker"
Linux administrator,Ośrodek Przetwarzania Informacji - PIB,DevOps,0,Mid,10000,15000,"DevOps,Git,CI/CD,Docker,Kubernetes,Linux,CentOS,VMware vSphere,Perl,Python,Ansible,Salt,MongoDB","Zabbix,Prometheus,Graylog,Elasticsearch,Grafana,AWS S3,Keycloak"
Administrator IT - Systemy Linux i Wirtualizacja,WASKO S.A.,Sys. Administrator,0,Mid,8000,15000,"Linux,RHEL,Oracle,Ansible,Bash,Python","Kubernetes,Elasticsearch,HashiCorp Vault,Grafana,Kibana,Prometheus,RHCSA,RHCE"
Machine Learning Developer,Daily Dose of Beauty sp. z .o.o.,AI,1,Senior,17000,20000,"C++,Python","TensorFlow,PyTorch"
Junior DevOps Engineer,Appstronauts,DevOps,1,Junior,8400,11760,"GitLab,CI CD,Docker,Kubernetes,Infrastructure as Code,Terraform,Ansible,Prometheus,Grafana,ELK Stack,Cloud computing,AWS,Azure,GCP,Scripting language,Python,Bash,SAST,DAST,OWASP,Azure DevOps","Red Hat Certified Engineer,HashiCorp"
Cloud DevSecOps Engineer - Team Lead,Motorola Solutions Systems Polska,Security,0,Expert,22000,30000,"Cloud platform,SaaS,AWS,Azure,GCP,WAF,IPS,Cloud security,NIST,GDPR,ISO,Linux,Shell,PowerShell,Python,Elasticsearch,Kubernetes,Docker,Prisma,CIS",
Senior IT Support Engineer,MANGOPAY,IT Support,0,Senior,20000,25000,"Okta,Google suite,Microsoft 365,Azure Active Directory,Slack,Atlassian products",
Senior Data Analyst - Remote,Infogain Technologies Sp. z o.o.,Business Analysis,1,Senior,21840,26880,"SQL,Data management,Degree","Python,MySQL"
Intern IT Engineer (Asset Management),VML Enterprise Solutions,IT Support,0,Trainee,5040,5544,"Windows,Linux,Relational database,Bash,PowerShell,Python,Version control system,Network protocols,Analytical skills,Git,Communication skills",
Software Developer,HSBC Technology Poland,Backend,0,Senior,20000,25000,".NET CORE,C#,Web Api,SQL,T-SQL,Shell,Git,Python,Data engineering,ETL,Data modelling,Quality assurance,DevOps,Continuous integration,Continous delivery,.NET",
Senior Software Engineer,Transition Technologies PSC S.A.,Backend,1,Senior,20160,25200,"C++,GitHub,Jenkins,C,CD,Analytical skills","CLI,MySQL,RabbitMQ,CI/CD,Python,Bash,AWS,Azure,GCP,Protocols,C#,OSI,Java,Network protocols"
Senior Software Developer,HSBC Technology Poland,Fullstack,0,Senior,23000,28000,".NET CORE,C#,Web Api,SQL Server,T-SQL,Git,Shell,Python,Data engineering,ETL,Data modelling,Quality assurance,DevOps,Continuous integration,Continous delivery",
Remote Software Engineer - Ruby on Rails,Kellton Europe,Backend,1,Mid,18000,22000,"Ruby on Rails,JavaScript,Web API,CI/CD,REST API","Git,GitHub,Python,Django,Sass,GraphQL"
C++ Embedded Developer (Autosar | Automotive),1dea,Embedded,1,Senior,24360,27720,"C++,QNX OS,BSPs","AUTOSAR,Linux,RTOS,Python"
DevOps Engineer,NetworkedAssets Sp. z o.o.,DevOps,0,Mid,13000,22000,"AWS,CI/CD,Terraform,Ansible,Linux,Python,Kubernetes",TypeScript
Senior Software Engineer (Data Experience),hyperexponential,Backend,0,Senior,27000,33000,"Amazon Web Services,Functional programming,Rust","AWS,Cloud,Rust,Scala,Terraform,CI/CD,Python,Golang,ETL,Spark,Airflow,GCP,Kotlin"
Lead Robotics Developer,SoftServe,Robotics,1,Senior,20000,30000,"C++,Python,MATLAB,Simulink,Gazebo,Unix,Linux,Continuous integration,Communication skills",
Senior Test Automation Engineer (Robotics),SoftServe,Robotics,0,Senior,18000,26000,"Quality assurance,C++,Python,ROS,Analytical skills","Gazebo,LiDAR,SLAM,IMU"
DevOps Engineer (GCP),Connectis_,DevOps,0,Mid,18000,26500,"GCP,DevOps,Elastic Stack,Prometheus,Grafana,Kibana,GitLab,Docker,Kubernetes,Google Cloud Platform,Linux,CI/CD","Oracle,MySQL,PostgreSQL,MongoDB,RabbitMQ,Python"
Big Data Engineer IV,OpenX,Backend,1,Senior,30240,34944,"Scala,Cloud,Kubernetes,Java","Docker,Spark,Jenkins,Hadoop,Data engineering,Python"
Senior Golang Engineer,N-iX,Backend,1,Senior,17750,26625,"Golang,Docker,Kubernetes,Cloud Native","Python,Open source,Data science,MLOps"
Senior Data Engineer (Azure),GetInData | Part of Xebia,Data,1,Senior,26880,33600,"Python,Databricks,Kafka,Git,Airflow,Docker,Terraform,CI/CD,Microsoft Azure,Azure DevOps",
Storage Engineer,Object First,Sys. Administrator,1,Mid,11000,15600,"VMware vSphere,Storage,SAN,NAS,Ubuntu Server,Bash,PowerShell,RAID","mdadm,Veeam Backup & Replication.,Python,pytest,Amazon S3,AWS CLI,Hyper-V, KVM skills,CI/CD (TeamCity/Jenkins)"
Lead Data Architect- Market Analytics,Digital Hub Warsaw at Bayer,Data,0,Senior,24000,34000,"Degree,Market analytics,Use cases,Analytical skills,Communication skills","Databricks,Snowflake,Azure Data Factory,Azure Data Lake,Python,SAP,HANA,ETL,SQL,Cloud computing,Data management"
Security Tooling Engineer II,Box Inc.,Security,0,Mid,14500,17700,"2-3 years experience,Cloud platform",InfoSec field
Embedded Software Developer,AIUT,Embedded,0,Mid,10200,14400,"C++,C,Git","Linux,Confluence,Jira,Azure,Python"
Senior Software Engineer in Test (Backend),Snowflake,Testing,0,Senior,30000,60000,"Python,Java,C++,Test automation,Continuous integration,Git,Continuous deployment,Jenkins,SQL",Docker
Staff Machine Learning Engineer,Stellantis,Data,1,Senior,20000,30000,"Data science,Machine learning,Open source,AI,MSc,MLOps,Kubeflow,AWS SageMaker,Azure,AWS","AWS,Shell,Networking,Django,Node.js,Kubernetes,Docker,PySpark,SQL"
Site Reliability Engineer,OpenX,DevOps,0,Mid,20664,22680,"Cloud,Kubernetes,Terraform,Docker,Linux,CI/CD,Google Cloud Platform,Git,Virtualization,On-calls,GCP,AWS","Spinnaker,Grafana,Prometheus,Python,Golang"
Head of IT Operations and Support,2021.AI,IT Support,1,Expert,21606,28952,"ITIL,DevOps,AI,Open source,Kubernetes,Azure,GCP,AWS,Prometheus,Operating system,Linux,Python,Docker,Ansible,Terraform,Degree,Data science,Big Data,Machine Learning",
BI Developer,Margo Consulting Sp. z o.o.,Business Intelligence,0,Mid,18480,25200,"PowerBI,VBA,BI,Degree,DAX,SQL Server,T-SQL,Oracle,SSIS,SSRS,Visual Studio,Snowflake,MS Excel,Alteryx","Power BI Service,Python,Microsoft SSAS,Multi-dimension modelling"
ETL / PowerBI / Data Engineer - Remote,Sofomo,Data,1,Mid,14000,18000,"PowerBI,ETL,SQL,Azure","Python,Data engineering"
Data Developer with SQL,Antal,Data,0,Mid,20160,25200,"SQL,Data analysis,Data management,Google Cloud Platform,Jira,Confluence,Business analysis,Communication skills","BigQuery,Data Studio,Relational database,Python,Data visualization"
Software Engineer - Business Systems - Remote,Phorest,Backend,1,Mid,19804,27008,"Java,JVM,REST API,CI/CD,Design Patterns,SQL","Docker,AWS,Big data,Python,Kotlin,Kafka"
Full Stack NextJS Developer,SynergyAI,Fullstack,1,Mid,14000,19000,"Next.js,React,Node.js,PostgreSQL,TypeScript,JavaScript,SQL,HTML5,CSS,REST API","Express,Docker,MongoDB,Go,Python,Solidity"
Junior Networking Engineer,Mindpal,Telecommunication,1,Junior,8400,11760,"TCP/IP,Ethernet,Git,Visual Studio,ISO,OSI,TCP,UDP,Protocols","C++,C,Python"
Junior Embedded Developer with C,Cognitum Services SA,Embedded,1,Junior,9072,11928,"C,Python,ARM",
Data Scientist,Shelf,Data,1,Senior,24204,32272,"AI,Data analytics,NLP,Python,SQL,NoSQL,TensorFlow,PyTorch,PhD,Machine learning,Machine Learning,GitHub","Degree,Amazon ML Services,autonomous agents development"
Mid/Senior Embedded C Developer,Antal,Embedded,0,Mid,18000,25000,"C,FreeRTOS,ARM,AD,I2C,SPI,CAN,SVN,Git,PC","HTML,JavaScript,CSS,C#,Python,Django,Windows,Linux,Bluetooth,CI,MODBUS,Jenkins,Altium,TCP"
Inżynier ds. Weryfikacji Systemowej,Sieć Badawcza Łukasiewicz – Instytut Lotnictwa,Automation,0,Mid,7500,12000,C,"Ethernet,Python,C++,DOORS"
Senior AI & Math CUDA (C++) Developer,Camino Science sp. z o.o.,AI,1,Senior,16000,19000,CUDA (C++),"Machine learning,Python,TensorFlow,Applied Mathematics,Dorobek Naukowy,Tworzenie Architektury AI ""from the scratch"",Łatwość w automatyzacji,Doktorat z matematyki stosowanej,PhD"
Inżynier Niezawodności,Sieć Badawcza Łukasiewicz – Instytut Lotnictwa,Mechanics,0,Mid,8000,12000,"MS Office,Excel","Python,R,VBA"
AI & Math CUDA (C++) Developer,Camino Science sp. z o.o.,AI,1,Mid,12000,16000,CUDA (C++),"Machine learning,Python,TensorFlow,Applied Mathematics,Dorobek Naukowy,Tworzenie Architektury AI ""from the scratch"",Łatwość w automatyzacji,Doktorat z matematyki stosowanej,PhD"
Informatica Cloud & ETL Developer (IICS),plantecs Sp. z o.o.,DevOps,1,Mid,17000,22000,"Informatica,ETL","Jira,Python,DevOps"
