Title,Company,Category,Remote,Seniority,Bottom salary,Top salary,Must haves,Nice to haves
Lead Data Engineer,Digital Hub Warsaw at Bayer,Data,0,Expert,25000,35000,"Python,AWS,Snowflake,Databricks,Presto,Spark,PySpark,GraphQL,Terraform,AWS Lambda",
Senior AI Engineer,Lingaro,AI,1,Expert,25200,33600,"Python,AI,Databricks,Azure ML","Azure,GCP,MLOps,Spark,Scala"
Senior MLOps Engineer,SoftServe,Data,1,Senior,25000,34000,"Machine learning,AWS,GCP,Azure,MLOps,Python",
Machine Learning Engineer,Ardigen,AI,0,Mid,13000,15000,"Python,Bash,Git,Machine learning","Kubernetes,Docker,AWS Cloud,MLOps,Data visualization,pandas,NumPy,PyTorch"
Data Engineer,Finture Sp. Zo.o,Data,0,Mid,21000,27000,"Informatica,GCP,Google Cloud,Cloud,Storage,Phyton,Flask,Django,Oracle,Linux,Bash,Apache Airflow,Python","Kubernetes,Docker,SAS"
Principal Data Engineer,Proxet,Data,1,Senior,32379,40474,"Python,SQL,PostgreSQL,BigQuery,Redis,Google Cloud,Integration test,Docker,Communication skills","GraphQL,Data engineering"
AI Engineer,Lingaro,AI,1,Mid,15120,19320,"Python,AI,Databricks,Azure ML","Azure,Spark,MLOps,Scala"
Senior DevOps Engineer,Jacobs,DevOps,0,Senior,,,"AWS,CI/CD,Cloud,Docker,Jenkins,Kubernetes,Terraform,Consul,Vault,API Gateway,ELK Stack,Xray,GCP,Prometheus,Python","Python,Zabbix,AWS certificate"
Senior Data Engineer,Digital Hub Warsaw at Bayer,Data,0,Senior,18000,28000,"Python,ETL,Cloud,SQL,Apache Airflow,Kafka,Git","Google cloud platform,R"
Senior Data Engineer,Devire Sp. z o.o.,Data,0,Senior,28560,36960,"Azure Databricks,Python,SQL,Azure Data Factory,Azure Data,Azure",
Data Engineer,Sunscrapers,Data,1,Mid,20000,24000,"Python,Pandas,Sequel,dbt,ETL","Snowflake,Docker,Azure,Terraform"
CyberArk Engineer - Remote,Link Group,Security,1,Senior,38640,43680,"Python,IAM,Cybersecurity,CyberArk,Windows,Linux,Unix,PowerShell,Bash,RBAC",
Senior Penetration Tester (Remote),Hyland,Security,1,Senior,17000,25000,"OWASP,SSDLC","critical thinking,Cooperation skills,Communication skills,C,C++,C#,JavaScript"
Data Scientist,nCube,Data,1,Senior,16189,26308,"Python,Data science,pandas,NumPy,TensorFlow,PyTorch,Machine learning,Natural language processing,Data structures,Data modeling,Cloud platform,Azure","Agile,Big Data,Hadoop,Spark,DevOps,CI/CD Pipelines"
